krb5 1.13.4-1
kross 5.28.0-1
krunner 5.28.0-1
kscreen 5.8.4-1
kscreenlocker 5.8.4-1
kservice 5.28.0-1
ksshaskpass 5.8.4-1
ksysguard 5.8.4-1
ktexteditor 5.28.0-1
ktextwidgets 5.28.0-1
ktorrent 5.0.1-2
kuiserver 5.8.4-1
kunitconversion 5.28.0-1
kwallet 5.28.0-1
kwallet-pam 5.8.4-1
kwayland 5.28.0-1
kwayland-integration 5.8.4-1
kwidgetsaddons 5.28.0-1
kwin 5.8.4-1
kwindowsystem 5.28.0-1
kwrite 16.08.3-1
kwrited 5.8.4-1
kxmlgui 5.28.0-1
kxmlrpcclient 5.28.0-1
lame 3.99.5-3
lcms 1.19-5
lcms2 2.8-1
ldb 1.1.27-1
ldns 1.6.17-4
less 487-1
lftp 4.7.4-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.2-1
lib32-alsa-plugins 1.1.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-expat 2.2.0-1
lib32-gcc-libs 6.2.1-1
lib32-glibc 2.24-2
lib32-libcap 2.25-1
lib32-libdrm 2.4.74-1
lib32-libelf 0.167-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgpg-error 1.24-1
lib32-libidn 1.33-1
lib32-libpciaccess 0.13.4-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libx11 1.6.4-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxml2 2.9.3-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.9.0-1
lib32-mesa 13.0.2-1
lib32-mesa-libgl 13.0.2-1
lib32-ncurses 6.0-2
lib32-readline 7.0-1
lib32-systemd 231-1
lib32-wayland 1.12.0-1
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libaccounts-glib 1.23-1
libaccounts-qt 1.15-1
libaio 0.3.110-1
libakonadi-qt4 1.13.0-11
libao 1.2.0-1
libarchive 3.2.1-2
libass 0.13.4-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.4-1
libavc1394 0.5.4-2
libbluray 0.9.2-2
libbsd 0.8.3-1
libcaca 0.99.beta19-1
libcanberra 0.30-7
libcanberra-pulse 0.30-7
libcap 2.25-1
libcap-ng 0.7.8-1
libcddb 1.3.2-4
libcdio 0.93-4
libcdio-paranoia 10.2+0.93+1-2
libcroco 0.6.11-1
libcups 2.2.1-1
libcurl-compat 7.51.0-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdca 0.0.5-4
libdmtx 0.7.4-5
libdmx 1.1.3-1
libdrm 2.4.74-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libebml 1.3.4-1
libedit 20160903_3.1-1
libelf 0.167-1
libepoxy 1.3.1-1
libev 4.22-1
libevdev 1.5.5-1
libevent 2.0.22-2
libexif 0.6.21-2
libfakekey 0.1-7
libffi 3.2.1-2
libfontenc 1.1.3-1
libftdi 1.3-2
libftdi-compat 0.20-3
libgcrypt 1.7.3-1
libgit2 1:0.24.3-1
libglade 2.6.4-5
libglvnd 0.1.1.20161028-1
libgpg-error 1.25-1
libgssglue 0.4-2
libgudev 230-1
libgusb 0.2.9-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libinput 1.5.2-1
libirman 0.5.2-1
libjpeg-turbo 1.5.1-1
libkactivities4 4.13.3-3
libkate 0.4.1-5
libkcddb4 16.08.3-1
libkdcraw 16.08.3-1
libkexiv2_4 15.08.3-2
libkeybinder2 0.3.1-1
libkipi 16.08.3-1
libksba 1.3.4-2
libkscreen 5.8.4-1
libkscreen4 1.0.5-2
libksysguard 5.8.4-1
libktorrent 2.0.1-1
liblastfm 1.0.9-2
libldap 2.4.44-2
libmad 0.15.1b-7
libmariadbclient 10.1.19-1
libmatroska 1.4.5-1
libmbim 1.14.0-2
libmm-glib 1.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmtp 1.1.12-1
libmusicbrainz5 5.1.0-2
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.19-1
libnfnetlink 1.0.1-2
libnftnl 1.0.6-1
libnl 3.2.28-1
libnm-glib 1.4.2-2
libnotify 0.7.7-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-9
libpcap 1.8.1-2
libpciaccess 0.13.4-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.26-2
libproxy 0.4.13-1
libpulse 9.0-1
libpwquality 1.3.0-1
libqalculate 0.9.10-2
libqmi 1.16.2-1
libqzeitgeist 0.8.0-6
libraw 0.17.2-1
libraw1394 2.1.2-1
librpcsecgss 0.19-8
librsvg 2:2.40.16-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.11-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-1
libssh 0.7.3-1
libssh2 1.8.0-1
libsystemd 232-4
libtar 1.2.20-2
libtasn1 4.9-2
libteam 1.23-1
libthai 0.1.25-1
libtheora 1.1.1-3
libtiff 4.0.7-1
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-6
libtxc_dxtn 1.0.1-6
libunistring 0.9.6-2
libunwind 1.1-3
libupnp 1.6.20-1
libusb 1.0.21-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.28.2-2
libuv 1.10.1-1
libva 1.7.3-1
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libwacom 0.22-1
libwbclient 4.5.1-2
libwebp 0.5.1-1
libwmf 0.2.8.4-13
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.7.0-1
libxkbcommon-x11 0.7.0-1
libxkbfile 1.0.9-1
libxml2 2.9.4+12+ge905f08-2
libxmu 1.1.2-1
libxnvctrl 375.20-1
libxpm 3.5.11-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.1.3-1
licenses 20140629-1
linux 4.8.11-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
lirc 1:0.9.4.c-1
llvm-libs 3.9.0-3
lm_sensors 3.4.0-2
lmdb 0.9.18-2
logrotate 3.10.0-1
lsof 4.89-1
lua 5.3.3-2
lua51 5.1.5-6
lua52 5.2.4-2
lvm2 2.02.167-2
lz4 131-2
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mariadb 10.1.19-1
mariadb-clients 10.1.19-1
mdadm 3.4-1
media-player-info 22-2
mercurial 4.0-1
mesa 13.0.2-2
mesa-demos 8.3.0-2
mesa-libgl 13.0.2-2
milou 5.8.4-1
mime-types 9-1
mkinitcpio 22-1
mkinitcpio-busybox 1.24.2-1
mlocate 0.26-5
modemmanager 1.6.4-1
modemmanager-qt 5.28.0-1
mozilla-common 1.4-4
mpfr 3.1.5-1
mpg123 1.23.8-1
mplayer 37857-1
